Entity,Date,Cases,Deaths,Daily tests,iso_alpha,month
Japan,2020-01-21,1.0,0.0,0.0,JPN,1
Mexico,2020-01-22,1.0,0.0,293.0,MEX,1
United States,2020-01-22,1.0,0.0,0.0,USA,1
Japan,2020-01-22,1.0,0.0,0.0,JPN,1
Thailand,2020-01-22,4.0,0.0,8.0,THA,1
Mexico,2020-01-23,1.0,0.0,267.0,MEX,1
Japan,2020-01-23,1.0,0.0,0.0,JPN,1
United States,2020-01-23,1.0,0.0,0.0,USA,1
Thailand,2020-01-23,4.0,0.0,24.0,THA,1
Thailand,2020-01-24,4.0,0.0,19.0,THA,1
Japan,2020-01-24,2.0,0.0,0.0,JPN,1
Switzerland,2020-01-24,0.0,0.0,3.0,CHE,1
Mexico,2020-01-24,1.0,0.0,211.0,MEX,1
Vietnam,2020-01-24,2.0,0.0,0.0,VNM,1
United States,2020-01-24,1.0,0.0,0.0,USA,1
Thailand,2020-01-25,5.0,0.0,26.0,THA,1
Malaysia,2020-01-25,3.0,0.0,0.0,MYS,1
United States,2020-01-25,2.0,0.0,0.0,USA,1
Vietnam,2020-01-25,2.0,0.0,0.0,VNM,1
Switzerland,2020-01-25,0.0,0.0,4.0,CHE,1
Mexico,2020-01-25,1.0,0.0,105.0,MEX,1
Nepal,2020-01-25,1.0,0.0,0.0,NPL,1
Japan,2020-01-25,2.0,0.0,0.0,JPN,1
Australia,2020-01-25,1.0,0.0,0.0,AUS,1
France,2020-01-25,3.0,0.0,0.0,FRA,1
Japan,2020-01-26,3.0,0.0,0.0,JPN,1
Nepal,2020-01-26,1.0,0.0,0.0,NPL,1
Vietnam,2020-01-26,2.0,0.0,0.0,VNM,1
Malaysia,2020-01-26,4.0,0.0,0.0,MYS,1
France,2020-01-26,3.0,0.0,0.0,FRA,1
Mexico,2020-01-26,1.0,0.0,160.0,MEX,1
Thailand,2020-01-26,5.0,0.0,61.0,THA,1
United States,2020-01-26,2.0,0.0,0.0,USA,1
Canada,2020-01-26,1.0,0.0,0.0,CAN,1
Australia,2020-01-26,4.0,0.0,0.0,AUS,1
Canada,2020-01-27,1.0,0.0,0.0,CAN,1
Japan,2020-01-27,3.0,0.0,0.0,JPN,1
Switzerland,2020-01-27,0.0,0.0,13.0,CHE,1
Vietnam,2020-01-27,2.0,0.0,0.0,VNM,1
France,2020-01-27,3.0,0.0,0.0,FRA,1
Thailand,2020-01-27,8.0,0.0,59.0,THA,1
Israel,2020-01-27,0.0,0.0,1.0,ISR,1
Denmark,2020-01-27,0.0,0.0,1.0,DNK,1
Mexico,2020-01-27,1.0,0.0,282.0,MEX,1
Nepal,2020-01-27,1.0,0.0,0.0,NPL,1
United States,2020-01-27,5.0,0.0,0.0,USA,1
Australia,2020-01-27,4.0,0.0,0.0,AUS,1
Malaysia,2020-01-27,4.0,0.0,0.0,MYS,1
Sri Lanka,2020-01-28,1.0,0.0,0.0,LKA,1
Canada,2020-01-28,2.0,0.0,0.0,CAN,1
France,2020-01-28,3.0,0.0,0.0,FRA,1
United States,2020-01-28,5.0,0.0,0.0,USA,1
Malaysia,2020-01-28,4.0,0.0,0.0,MYS,1
Australia,2020-01-28,4.0,0.0,0.0,AUS,1
Vietnam,2020-01-28,2.0,0.0,0.0,VNM,1
Japan,2020-01-28,4.0,0.0,0.0,JPN,1
Mexico,2020-01-28,1.0,0.0,245.0,MEX,1
Thailand,2020-01-28,14.0,0.0,78.0,THA,1
Czech Republic,2020-01-28,0.0,0.0,8.0,CZE,1
Nepal,2020-01-28,1.0,0.0,0.0,NPL,1
Switzerland,2020-01-28,0.0,0.0,16.0,CHE,1
Australia,2020-01-29,4.0,0.0,0.0,AUS,1
Japan,2020-01-29,7.0,0.0,0.0,JPN,1
Mexico,2020-01-29,1.0,0.0,213.0,MEX,1
United States,2020-01-29,5.0,0.0,0.0,USA,1
Nepal,2020-01-29,1.0,0.0,1.0,NPL,1
Denmark,2020-01-29,0.0,0.0,1.0,DNK,1
France,2020-01-29,4.0,0.0,0.0,FRA,1
Czech Republic,2020-01-29,0.0,0.0,5.0,CZE,1
Thailand,2020-01-29,14.0,0.0,108.0,THA,1
Canada,2020-01-29,3.0,0.0,0.0,CAN,1
Malaysia,2020-01-29,7.0,0.0,0.0,MYS,1
Sri Lanka,2020-01-29,1.0,0.0,0.0,LKA,1
Vietnam,2020-01-29,2.0,0.0,0.0,VNM,1
Switzerland,2020-01-29,0.0,0.0,29.0,CHE,1
Finland,2020-01-30,1.0,0.0,0.0,FIN,1
Vietnam,2020-01-30,2.0,0.0,0.0,VNM,1
Israel,2020-01-30,0.0,0.0,4.0,ISR,1
Malaysia,2020-01-30,7.0,0.0,0.0,MYS,1
Thailand,2020-01-30,14.0,0.0,135.0,THA,1
United States,2020-01-30,5.0,0.0,0.0,USA,1
Philippines,2020-01-30,1.0,0.0,0.0,PHL,1
India,2020-01-30,1.0,0.0,0.0,IND,1
Czech Republic,2020-01-30,0.0,0.0,1.0,CZE,1
Japan,2020-01-30,11.0,0.0,0.0,JPN,1
Canada,2020-01-30,3.0,0.0,0.0,CAN,1
Nepal,2020-01-30,1.0,0.0,1.0,NPL,1
Switzerland,2020-01-30,0.0,0.0,40.0,CHE,1
Australia,2020-01-30,6.0,0.0,0.0,AUS,1
Sri Lanka,2020-01-30,1.0,0.0,0.0,LKA,1
Mexico,2020-01-30,2.0,0.0,233.0,MEX,1
France,2020-01-30,5.0,0.0,0.0,FRA,1
Nepal,2020-01-31,1.0,0.0,0.0,NPL,1
Vietnam,2020-01-31,5.0,0.0,0.0,VNM,1
Malaysia,2020-01-31,8.0,0.0,0.0,MYS,1
India,2020-01-31,1.0,0.0,0.0,IND,1
Mexico,2020-01-31,2.0,0.0,152.0,MEX,1
Canada,2020-01-31,3.0,0.0,0.0,CAN,1
France,2020-01-31,6.0,0.0,0.0,FRA,1
Finland,2020-01-31,1.0,0.0,0.0,FIN,1
Japan,2020-01-31,14.0,0.0,0.0,JPN,1
Thailand,2020-01-31,14.0,0.0,142.0,THA,1
Czech Republic,2020-01-31,0.0,0.0,3.0,CZE,1
Philippines,2020-01-31,1.0,0.0,0.0,PHL,1
Australia,2020-01-31,7.0,0.0,0.0,AUS,1
United States,2020-01-31,6.0,0.0,0.0,USA,1
Italy,2020-01-31,3.0,0.0,0.0,ITA,1
Sri Lanka,2020-01-31,1.0,0.0,0.0,LKA,1
Switzerland,2020-01-31,0.0,0.0,32.0,CHE,1
Malaysia,2020-02-01,8.0,0.0,0.0,MYS,2
France,2020-02-01,6.0,0.0,0.0,FRA,2
India,2020-02-01,1.0,0.0,0.0,IND,2
Australia,2020-02-01,9.0,0.0,0.0,AUS,2
Switzerland,2020-02-01,0.0,0.0,19.0,CHE,2
Italy,2020-02-01,3.0,0.0,0.0,ITA,2
Vietnam,2020-02-01,5.0,0.0,0.0,VNM,2
Philippines,2020-02-01,1.0,0.0,0.0,PHL,2
Finland,2020-02-01,1.0,0.0,0.0,FIN,2
Mexico,2020-02-01,2.0,0.0,67.0,MEX,2
Sri Lanka,2020-02-01,1.0,0.0,0.0,LKA,2
Czech Republic,2020-02-01,0.0,0.0,1.0,CZE,2
Japan,2020-02-01,15.0,0.0,0.0,JPN,2
Thailand,2020-02-01,19.0,0.0,224.0,THA,2
Nepal,2020-02-01,1.0,0.0,0.0,NPL,2
United Kingdom,2020-02-01,2.0,0.0,0.0,GBR,2
Sweden,2020-02-01,1.0,0.0,0.0,SWE,2
United States,2020-02-01,7.0,0.0,0.0,USA,2
Canada,2020-02-01,4.0,0.0,0.0,CAN,2
Denmark,2020-02-02,0.0,0.0,1.0,DNK,2
Sweden,2020-02-02,1.0,0.0,0.0,SWE,2
Thailand,2020-02-02,19.0,0.0,153.0,THA,2
Mexico,2020-02-02,2.0,0.0,105.0,MEX,2
Philippines,2020-02-02,2.0,1.0,0.0,PHL,2
Nepal,2020-02-02,1.0,0.0,0.0,NPL,2
Sri Lanka,2020-02-02,1.0,0.0,0.0,LKA,2
Vietnam,2020-02-02,7.0,0.0,0.0,VNM,2
Finland,2020-02-02,1.0,0.0,0.0,FIN,2
United States,2020-02-02,8.0,0.0,0.0,USA,2
Australia,2020-02-02,11.0,0.0,0.0,AUS,2
Malaysia,2020-02-02,8.0,0.0,0.0,MYS,2
Japan,2020-02-02,19.0,0.0,0.0,JPN,2
Canada,2020-02-02,4.0,0.0,0.0,CAN,2
Italy,2020-02-02,3.0,0.0,0.0,ITA,2
France,2020-02-02,6.0,0.0,0.0,FRA,2
United Kingdom,2020-02-02,2.0,0.0,0.0,GBR,2
India,2020-02-02,2.0,0.0,0.0,IND,2
Czech Republic,2020-02-02,0.0,0.0,5.0,CZE,2
Switzerland,2020-02-02,0.0,0.0,11.0,CHE,2
Israel,2020-02-03,0.0,0.0,7.0,ISR,2
India,2020-02-03,2.0,0.0,0.0,IND,2
Finland,2020-02-03,1.0,0.0,0.0,FIN,2
Vietnam,2020-02-03,8.0,0.0,0.0,VNM,2
Nepal,2020-02-03,1.0,0.0,0.0,NPL,2
Sri Lanka,2020-02-03,1.0,0.0,0.0,LKA,2
Australia,2020-02-03,11.0,0.0,0.0,AUS,2
France,2020-02-03,6.0,0.0,0.0,FRA,2
Czech Republic,2020-02-03,0.0,0.0,5.0,CZE,2
Japan,2020-02-03,20.0,0.0,0.0,JPN,2
Canada,2020-02-03,4.0,0.0,0.0,CAN,2
Thailand,2020-02-03,19.0,0.0,128.0,THA,2
Sweden,2020-02-03,1.0,0.0,0.0,SWE,2
Malaysia,2020-02-03,8.0,0.0,0.0,MYS,2
United States,2020-02-03,11.0,0.0,0.0,USA,2
Mexico,2020-02-03,2.0,0.0,141.0,MEX,2
Denmark,2020-02-03,0.0,0.0,1.0,DNK,2
Italy,2020-02-03,3.0,0.0,0.0,ITA,2
Switzerland,2020-02-03,0.0,0.0,14.0,CHE,2
Philippines,2020-02-03,2.0,1.0,0.0,PHL,2
United Kingdom,2020-02-03,2.0,0.0,0.0,GBR,2
Australia,2020-02-04,11.0,0.0,0.0,AUS,2
Canada,2020-02-04,4.0,0.0,0.0,CAN,2
Finland,2020-02-04,1.0,0.0,0.0,FIN,2
Italy,2020-02-04,3.0,0.0,0.0,ITA,2
Japan,2020-02-04,20.0,0.0,0.0,JPN,2
Philippines,2020-02-04,2.0,1.0,0.0,PHL,2
Switzerland,2020-02-04,0.0,0.0,26.0,CHE,2
Thailand,2020-02-04,19.0,0.0,235.0,THA,2
Sweden,2020-02-04,1.0,0.0,0.0,SWE,2
Belgium,2020-02-04,1.0,0.0,0.0,BEL,2
Vietnam,2020-02-04,9.0,0.0,0.0,VNM,2
United Kingdom,2020-02-04,2.0,0.0,0.0,GBR,2
Mexico,2020-02-04,2.0,0.0,256.0,MEX,2
India,2020-02-04,3.0,0.0,0.0,IND,2
Czech Republic,2020-02-04,0.0,0.0,5.0,CZE,2
Nepal,2020-02-04,1.0,0.0,0.0,NPL,2
United States,2020-02-04,11.0,0.0,0.0,USA,2
France,2020-02-04,6.0,0.0,0.0,FRA,2
Sri Lanka,2020-02-04,1.0,0.0,0.0,LKA,2
Israel,2020-02-04,0.0,0.0,6.0,ISR,2
Malaysia,2020-02-04,8.0,0.0,0.0,MYS,2
Vietnam,2020-02-05,10.0,0.0,0.0,VNM,2
Sri Lanka,2020-02-05,1.0,0.0,0.0,LKA,2
Italy,2020-02-05,3.0,0.0,0.0,ITA,2
Thailand,2020-02-05,25.0,0.0,387.0,THA,2
Nepal,2020-02-05,1.0,0.0,0.0,NPL,2
Denmark,2020-02-05,0.0,0.0,1.0,DNK,2
France,2020-02-05,6.0,0.0,0.0,FRA,2
Finland,2020-02-05,1.0,0.0,0.0,FIN,2
Switzerland,2020-02-05,0.0,0.0,28.0,CHE,2
Japan,2020-02-05,25.0,0.0,0.0,JPN,2
Australia,2020-02-05,12.0,0.0,0.0,AUS,2
India,2020-02-05,3.0,0.0,0.0,IND,2
Sweden,2020-02-05,1.0,0.0,0.0,SWE,2
Belgium,2020-02-05,1.0,0.0,0.0,BEL,2
Mexico,2020-02-05,2.0,0.0,234.0,MEX,2
Canada,2020-02-05,5.0,0.0,0.0,CAN,2
United Kingdom,2020-02-05,3.0,0.0,0.0,GBR,2
Malaysia,2020-02-05,10.0,0.0,0.0,MYS,2
United States,2020-02-05,11.0,0.0,0.0,USA,2
Philippines,2020-02-05,2.0,1.0,0.0,PHL,2
Thailand,2020-02-06,25.0,0.0,205.0,THA,2
Italy,2020-02-06,3.0,0.0,0.0,ITA,2
Canada,2020-02-06,5.0,0.0,0.0,CAN,2
Japan,2020-02-06,25.0,0.0,0.0,JPN,2
India,2020-02-06,3.0,0.0,0.0,IND,2
Belgium,2020-02-06,1.0,0.0,0.0,BEL,2
Mexico,2020-02-06,2.0,0.0,231.0,MEX,2
Malaysia,2020-02-06,12.0,0.0,0.0,MYS,2
France,2020-02-06,6.0,0.0,0.0,FRA,2
United Kingdom,2020-02-06,3.0,0.0,0.0,GBR,2
United States,2020-02-06,12.0,0.0,0.0,USA,2
Philippines,2020-02-06,3.0,1.0,0.0,PHL,2
Sri Lanka,2020-02-06,1.0,0.0,0.0,LKA,2
Vietnam,2020-02-06,10.0,0.0,0.0,VNM,2
Finland,2020-02-06,1.0,0.0,0.0,FIN,2
Switzerland,2020-02-06,0.0,0.0,13.0,CHE,2
Sweden,2020-02-06,1.0,0.0,0.0,SWE,2
Denmark,2020-02-06,0.0,0.0,1.0,DNK,2
Australia,2020-02-06,13.0,0.0,0.0,AUS,2
Nepal,2020-02-06,1.0,0.0,0.0,NPL,2
Finland,2020-02-07,1.0,0.0,0.0,FIN,2
France,2020-02-07,6.0,0.0,0.0,FRA,2
Japan,2020-02-07,25.0,0.0,0.0,JPN,2
Denmark,2020-02-07,0.0,0.0,1.0,DNK,2
United Kingdom,2020-02-07,4.0,0.0,0.0,GBR,2
Belgium,2020-02-07,1.0,0.0,0.0,BEL,2
Sweden,2020-02-07,1.0,0.0,0.0,SWE,2
Philippines,2020-02-07,3.0,1.0,0.0,PHL,2
Malaysia,2020-02-07,14.0,0.0,0.0,MYS,2
Canada,2020-02-07,7.0,0.0,0.0,CAN,2
Thailand,2020-02-07,25.0,0.0,152.0,THA,2
Sri Lanka,2020-02-07,1.0,0.0,0.0,LKA,2
Mexico,2020-02-07,2.0,0.0,176.0,MEX,2
Nepal,2020-02-07,1.0,0.0,0.0,NPL,2
Australia,2020-02-07,14.0,0.0,0.0,AUS,2
Czech Republic,2020-02-07,0.0,0.0,6.0,CZE,2
Italy,2020-02-07,3.0,0.0,0.0,ITA,2
Vietnam,2020-02-07,12.0,0.0,0.0,VNM,2
Switzerland,2020-02-07,0.0,0.0,15.0,CHE,2
India,2020-02-07,3.0,0.0,0.0,IND,2
United States,2020-02-07,12.0,0.0,0.0,USA,2
United Kingdom,2020-02-08,4.0,0.0,0.0,GBR,2
Sri Lanka,2020-02-08,1.0,0.0,0.0,LKA,2
India,2020-02-08,3.0,0.0,0.0,IND,2
Nepal,2020-02-08,1.0,0.0,0.0,NPL,2
Switzerland,2020-02-08,0.0,0.0,7.0,CHE,2
Philippines,2020-02-08,3.0,1.0,0.0,PHL,2
Belgium,2020-02-08,1.0,0.0,0.0,BEL,2
Sweden,2020-02-08,1.0,0.0,0.0,SWE,2
Japan,2020-02-08,25.0,0.0,0.0,JPN,2
Italy,2020-02-08,3.0,0.0,0.0,ITA,2
France,2020-02-08,11.0,0.0,0.0,FRA,2
Finland,2020-02-08,1.0,0.0,0.0,FIN,2
Mexico,2020-02-08,2.0,0.0,68.0,MEX,2
Thailand,2020-02-08,32.0,0.0,104.0,THA,2
Canada,2020-02-08,7.0,0.0,0.0,CAN,2
Vietnam,2020-02-08,13.0,0.0,0.0,VNM,2
Australia,2020-02-08,14.0,0.0,0.0,AUS,2
Malaysia,2020-02-08,15.0,0.0,0.0,MYS,2
United States,2020-02-08,12.0,0.0,0.0,USA,2
Sweden,2020-02-09,1.0,0.0,0.0,SWE,2
Philippines,2020-02-09,3.0,1.0,0.0,PHL,2
Switzerland,2020-02-09,0.0,0.0,9.0,CHE,2
Vietnam,2020-02-09,14.0,0.0,0.0,VNM,2
Malaysia,2020-02-09,16.0,0.0,0.0,MYS,2
Thailand,2020-02-09,32.0,0.0,61.0,THA,2
Finland,2020-02-09,1.0,0.0,0.0,FIN,2
Italy,2020-02-09,3.0,0.0,0.0,ITA,2
Australia,2020-02-09,14.0,0.0,0.0,AUS,2
Canada,2020-02-09,7.0,0.0,0.0,CAN,2
Sri Lanka,2020-02-09,1.0,0.0,0.0,LKA,2
France,2020-02-09,11.0,0.0,0.0,FRA,2
United States,2020-02-09,12.0,0.0,0.0,USA,2
United Kingdom,2020-02-09,4.0,0.0,0.0,GBR,2
Nepal,2020-02-09,1.0,0.0,0.0,NPL,2
India,2020-02-09,3.0,0.0,0.0,IND,2
Belgium,2020-02-09,1.0,0.0,0.0,BEL,2
Japan,2020-02-09,25.0,0.0,0.0,JPN,2
Mexico,2020-02-09,2.0,0.0,131.0,MEX,2
Japan,2020-02-10,25.0,0.0,0.0,JPN,2
Vietnam,2020-02-10,14.0,0.0,0.0,VNM,2
Canada,2020-02-10,7.0,0.0,0.0,CAN,2
India,2020-02-10,3.0,0.0,0.0,IND,2
Israel,2020-02-10,0.0,0.0,28.0,ISR,2
Australia,2020-02-10,14.0,0.0,0.0,AUS,2
Finland,2020-02-10,1.0,0.0,0.0,FIN,2
Italy,2020-02-10,3.0,0.0,0.0,ITA,2
United Kingdom,2020-02-10,8.0,0.0,0.0,GBR,2
Sri Lanka,2020-02-10,1.0,0.0,0.0,LKA,2
Philippines,2020-02-10,3.0,1.0,0.0,PHL,2
Thailand,2020-02-10,32.0,0.0,51.0,THA,2
France,2020-02-10,11.0,0.0,0.0,FRA,2
Malaysia,2020-02-10,18.0,0.0,0.0,MYS,2
Switzerland,2020-02-10,0.0,0.0,13.0,CHE,2
Sweden,2020-02-10,1.0,0.0,0.0,SWE,2
Czech Republic,2020-02-10,0.0,0.0,8.0,CZE,2
Mexico,2020-02-10,2.0,0.0,331.0,MEX,2
United States,2020-02-10,12.0,0.0,0.0,USA,2
Belgium,2020-02-10,1.0,0.0,0.0,BEL,2
Nepal,2020-02-10,1.0,0.0,0.0,NPL,2
Finland,2020-02-11,1.0,0.0,0.0,FIN,2
Italy,2020-02-11,3.0,0.0,0.0,ITA,2
Switzerland,2020-02-11,0.0,0.0,22.0,CHE,2
Philippines,2020-02-11,3.0,1.0,0.0,PHL,2
United States,2020-02-11,13.0,0.0,0.0,USA,2
Sri Lanka,2020-02-11,1.0,0.0,0.0,LKA,2
Israel,2020-02-11,0.0,0.0,50.0,ISR,2
Malaysia,2020-02-11,18.0,0.0,0.0,MYS,2
Vietnam,2020-02-11,15.0,0.0,0.0,VNM,2
Sweden,2020-02-11,1.0,0.0,0.0,SWE,2
Mexico,2020-02-11,3.0,0.0,246.0,MEX,2
Thailand,2020-02-11,32.0,0.0,65.0,THA,2
Czech Republic,2020-02-11,0.0,0.0,2.0,CZE,2
India,2020-02-11,3.0,0.0,0.0,IND,2
France,2020-02-11,11.0,0.0,0.0,FRA,2
United Kingdom,2020-02-11,9.0,0.0,0.0,GBR,2
Canada,2020-02-11,7.0,0.0,0.0,CAN,2
Japan,2020-02-11,25.0,0.0,0.0,JPN,2
Australia,2020-02-11,14.0,0.0,0.0,AUS,2
Belgium,2020-02-11,1.0,0.0,0.0,BEL,2
Nepal,2020-02-11,1.0,0.0,0.0,NPL,2
Israel,2020-02-12,0.0,0.0,35.0,ISR,2
Philippines,2020-02-12,3.0,1.0,0.0,PHL,2
Canada,2020-02-12,7.0,0.0,0.0,CAN,2
Australia,2020-02-12,14.0,0.0,0.0,AUS,2
India,2020-02-12,3.0,0.0,0.0,IND,2
Malaysia,2020-02-12,18.0,0.0,0.0,MYS,2
Italy,2020-02-12,3.0,0.0,0.0,ITA,2
Belgium,2020-02-12,1.0,0.0,0.0,BEL,2
Mexico,2020-02-12,3.0,0.0,264.0,MEX,2
Switzerland,2020-02-12,0.0,0.0,20.0,CHE,2
Japan,2020-02-12,25.0,0.0,0.0,JPN,2
Thailand,2020-02-12,33.0,0.0,116.0,THA,2
Nepal,2020-02-12,1.0,0.0,0.0,NPL,2
France,2020-02-12,11.0,0.0,0.0,FRA,2
Denmark,2020-02-12,0.0,0.0,2.0,DNK,2
Vietnam,2020-02-12,15.0,0.0,0.0,VNM,2
Finland,2020-02-12,1.0,0.0,0.0,FIN,2
United Kingdom,2020-02-12,9.0,0.0,0.0,GBR,2
United States,2020-02-12,13.0,0.0,0.0,USA,2
Czech Republic,2020-02-12,0.0,0.0,1.0,CZE,2
Sri Lanka,2020-02-12,1.0,0.0,0.0,LKA,2
Sweden,2020-02-12,1.0,0.0,0.0,SWE,2
Canada,2020-02-13,7.0,0.0,0.0,CAN,2
Thailand,2020-02-13,33.0,0.0,69.0,THA,2
Nepal,2020-02-13,1.0,0.0,4.0,NPL,2
United Kingdom,2020-02-13,10.0,0.0,0.0,GBR,2
Mexico,2020-02-13,3.0,0.0,197.0,MEX,2
Czech Republic,2020-02-13,0.0,0.0,1.0,CZE,2
Japan,2020-02-13,29.0,1.0,0.0,JPN,2
Belgium,2020-02-13,1.0,0.0,0.0,BEL,2
Denmark,2020-02-13,0.0,0.0,1.0,DNK,2
United States,2020-02-13,14.0,0.0,0.0,USA,2
Italy,2020-02-13,3.0,0.0,0.0,ITA,2
Sweden,2020-02-13,1.0,0.0,0.0,SWE,2
Malaysia,2020-02-13,18.0,0.0,0.0,MYS,2
Switzerland,2020-02-13,0.0,0.0,7.0,CHE,2
France,2020-02-13,11.0,0.0,0.0,FRA,2
Vietnam,2020-02-13,16.0,0.0,0.0,VNM,2
Finland,2020-02-13,1.0,0.0,0.0,FIN,2
Australia,2020-02-13,14.0,0.0,0.0,AUS,2
India,2020-02-13,3.0,0.0,0.0,IND,2
Sri Lanka,2020-02-13,1.0,0.0,0.0,LKA,2
Israel,2020-02-13,0.0,0.0,35.0,ISR,2
Philippines,2020-02-13,3.0,1.0,0.0,PHL,2
Vietnam,2020-02-14,16.0,0.0,97.0,VNM,2
United States,2020-02-14,15.0,0.0,0.0,USA,2
Thailand,2020-02-14,33.0,0.0,53.0,THA,2
Australia,2020-02-14,15.0,0.0,0.0,AUS,2
Finland,2020-02-14,1.0,0.0,0.0,FIN,2
United Kingdom,2020-02-14,10.0,0.0,0.0,GBR,2
Denmark,2020-02-14,0.0,0.0,1.0,DNK,2
South Africa,2020-02-14,0.0,0.0,4.0,ZAF,2
India,2020-02-14,3.0,0.0,0.0,IND,2
Sri Lanka,2020-02-14,1.0,0.0,0.0,LKA,2
France,2020-02-14,11.0,0.0,0.0,FRA,2
Belgium,2020-02-14,1.0,0.0,0.0,BEL,2
Mexico,2020-02-14,3.0,0.0,165.0,MEX,2
Italy,2020-02-14,3.0,0.0,0.0,ITA,2
Japan,2020-02-14,30.0,1.0,0.0,JPN,2
Philippines,2020-02-14,3.0,1.0,0.0,PHL,2
Canada,2020-02-14,7.0,0.0,0.0,CAN,2
Israel,2020-02-14,0.0,0.0,30.0,ISR,2
Malaysia,2020-02-14,19.0,0.0,0.0,MYS,2
Switzerland,2020-02-14,0.0,0.0,9.0,CHE,2
Nepal,2020-02-14,1.0,0.0,0.0,NPL,2
Sweden,2020-02-14,1.0,0.0,0.0,SWE,2
Italy,2020-02-15,3.0,0.0,0.0,ITA,2
Belgium,2020-02-15,1.0,0.0,0.0,BEL,2
Canada,2020-02-15,8.0,0.0,0.0,CAN,2
France,2020-02-15,11.0,1.0,0.0,FRA,2
United States,2020-02-15,15.0,0.0,0.0,USA,2
Finland,2020-02-15,1.0,0.0,0.0,FIN,2
Sri Lanka,2020-02-15,1.0,0.0,0.0,LKA,2
Thailand,2020-02-15,34.0,0.0,81.0,THA,2
Vietnam,2020-02-15,16.0,0.0,131.0,VNM,2
Philippines,2020-02-15,3.0,1.0,0.0,PHL,2
India,2020-02-15,3.0,0.0,0.0,IND,2
Switzerland,2020-02-15,0.0,0.0,5.0,CHE,2
United Kingdom,2020-02-15,10.0,0.0,0.0,GBR,2
Japan,2020-02-15,38.0,1.0,0.0,JPN,2
Israel,2020-02-15,0.0,0.0,3.0,ISR,2
Mexico,2020-02-15,3.0,0.0,76.0,MEX,2
Nepal,2020-02-15,1.0,0.0,0.0,NPL,2
Australia,2020-02-15,15.0,0.0,0.0,AUS,2
Malaysia,2020-02-15,21.0,0.0,0.0,MYS,2
Sweden,2020-02-15,1.0,0.0,0.0,SWE,2
Italy,2020-02-16,3.0,0.0,0.0,ITA,2
Thailand,2020-02-16,34.0,0.0,33.0,THA,2
Czech Republic,2020-02-16,0.0,0.0,1.0,CZE,2
Finland,2020-02-16,1.0,0.0,0.0,FIN,2
Switzerland,2020-02-16,0.0,0.0,5.0,CHE,2
Sweden,2020-02-16,1.0,0.0,0.0,SWE,2
Nepal,2020-02-16,1.0,0.0,0.0,NPL,2
Malaysia,2020-02-16,22.0,0.0,0.0,MYS,2
France,2020-02-16,11.0,1.0,0.0,FRA,2
